LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Lifetime Spayed Female,POODLE MIX,WHITE/BLACK,OREO,15024,2099,2010-02-04T16:13:03
Dog Lifetime Neutered Male,SHEPHERD MIX,BLACK/TAN,PEPPER,15024,2099,2010-02-04T16:13:03
Dog Lifetime Duplicate,LABRADOR RETRIEVER,YELLOW,PETE,15143,2099,2010-02-05T09:27:37
Dog Lifetime Duplicate,LAB MIX,BLACK,MILLIE,15102,2099,2010-02-05T09:36:02
Dog Lifetime Neutered Male,LAB MIX,BROWN,COOPER,15234,2099,2010-02-05T10:39:59
Dog Lifetime Spayed Female,LAB MIX,BLACK,CLEOPATRA,15234,2099,2010-02-05T10:50:40
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BROWN,ARNOLD,15024,2099,2010-02-05T11:19:32
Dog Lifetime Neutered Male,COCKAPOO,WHITE/TAN,BEN,15218,2099,2010-02-05T11:26:13
Dog Lifetime Neutered Male,ROTTWEILER MIX,BLACK/BROWN,APOLLO,15129,2099,2010-02-05T14:25:43
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,ROCKY,15116,2099,2010-02-05T14:46:33
Dog Lifetime Neutered Male,BOXER MIX,WHITE/BROWN,BUDDY,15145,2099,2010-02-09T10:47:24
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,HAPPY GO LUCKY,15145,2099,2010-02-09T10:47:24
Dog Lifetime Spayed Female,MIXED,YELLOW,PEANUT,15332,2099,2010-02-09T13:38:51
Dog Lifetime Duplicate,GOLDEN RETRIEVER,GOLD,LUCY,15143,2099,2010-02-09T14:48:11
Dog Lifetime Spayed Female,MIXED,WHITE/BROWN,CHELSEA,15131,2099,2010-02-09T15:27:57
Dog Lifetime Neutered Male,LAB MIX,WHITE/BROWN,OREO,15131,2099,2010-02-09T15:27:57
Dog Lifetime Spayed Female,W HGHLND WH TERRIER,WHITE,SADIE,15237,2099,2010-02-10T11:04:00
Dog Lifetime Spayed Female,MIXED,WHITE,LULU,15233,2099,2010-02-10T11:16:29
